t;y1;y2;y3
0.1574257740;0.9999842265;0.0000157401;0.0000000334
0.1577558070;0.9999841935;0.0000157731;0.0000000334
0.1580858400;0.9999841605;0.0000158061;0.0000000333
0.1584158730;0.9999841275;0.0000158392;0.0000000333
0.1587459060;0.9999840945;0.0000158721;0.0000000333
0.1590759390;0.9999840616;0.0000159051;0.0000000333
0.1594059720;0.9999840286;0.0000159382;0.0000000333
0.1597360050;0.9999839956;0.0000159711;0.0000000333
0.1600660380;0.9999839626;0.0000160041;0.0000000333
0.1603960710;0.9999839296;0.0000160371;0.0000000333
0.1607261040;0.9999838966;0.0000160701;0.0000000334
0.1610561370;0.9999838636;0.0000161031;0.0000000334
0.1613861700;0.9999838306;0.0000161361;0.0000000334
0.1617162030;0.9999837976;0.0000161690;0.0000000334
0.1620462360;0.9999837646;0.0000162021;0.0000000334
0.1623762690;0.9999837316;0.0000162351;0.0000000334
0.1627063020;0.9999836986;0.0000162680;0.0000000334
0.1630363350;0.9999836656;0.0000163011;0.0000000334
0.1633663680;0.9999836326;0.0000163341;0.0000000334
0.1636964010;0.9999835996;0.0000163671;0.0000000333
0.1640264340;0.9999835666;0.0000164001;0.0000000333
0.1643564670;0.9999835336;0.0000164331;0.0000000333
0.1646865000;0.9999835006;0.0000164661;0.0000000333
0.1650165330;0.9999834676;0.0000164991;0.0000000333
0.1653465660;0.9999834346;0.0000165321;0.0000000333
0.1656765990;0.9999834016;0.0000165651;0.0000000333
0.1660066320;0.9999833686;0.0000165981;0.0000000333
0.1663366650;0.9999833356;0.0000166311;0.0000000333
0.1666666980;0.9999833026;0.0000166641;0.0000000333
0.1669967310;0.9999832696;0.0000166971;0.0000000333
0.1673267640;0.9999832366;0.0000167300;0.0000000334
0.1676567970;0.9999832036;0.0000167630;0.0000000334
0.1679868300;0.9999831706;0.0000167960;0.0000000334
0.1683168630;0.9999831376;0.0000168290;0.0000000334
0.1686468960;0.9999831046;0.0000168620;0.0000000334
0.1689769290;0.9999830716;0.0000168950;0.0000000334
0.1693069620;0.9999830386;0.0000169280;0.0000000333
0.1696369950;0.9999830056;0.0000169611;0.0000000333
0.1699670280;0.9999829726;0.0000169941;0.0000000333
0.1702970610;0.9999829396;0.0000170270;0.0000000333
0.1706270940;0.9999829066;0.0000170600;0.0000000333
0.1709571270;0.9999828736;0.0000170930;0.0000000333
0.1712871600;0.9999828406;0.0000171260;0.0000000333
0.1716171930;0.9999828076;0.0000171590;0.0000000333
0.1719472260;0.9999827746;0.0000171920;0.0000000333
0.1722772590;0.9999827416;0.0000172250;0.0000000333
0.1726072920;0.9999827086;0.0000172580;0.0000000333
0.1729373250;0.9999826757;0.0000172910;0.0000000333
0.1732673580;0.9999826427;0.0000173240;0.0000000333
0.1735973910;0.9999826097;0.0000173570;0.0000000333
0.1739274240;0.9999825767;0.0000173900;0.0000000333
0.1742574570;0.9999825437;0.0000174230;0.0000000333
0.1745874900;0.9999825107;0.0000174560;0.0000000333
0.1749175230;0.9999824777;0.0000174890;0.0000000333
0.1752475560;0.9999824447;0.0000175220;0.0000000333
0.1755775890;0.9999824117;0.0000175550;0.0000000334
0.1759076220;0.9999823787;0.0000175880;0.0000000334
0.1762376550;0.9999823457;0.0000176210;0.0000000334
0.1765676880;0.9999823127;0.0000176539;0.0000000334
0.1768977210;0.9999822797;0.0000176869;0.0000000334
